movieTitle,tomatometer_rating,audience_rating
King Kong,98.0,86.0
King Kong,53.0,31.0
The King of Comedy,89.0,90.0
King of Kings,85.0,77.0
King Solomons Mines,92.0,59.0
The Lady Vanishes,98.0,88.0
The Ladykillers,100.0,87.0
Laura,100.0,90.0
Legend,38.0,73.0
Les Miserables,83.0,85.0
The Letter,100.0,82.0
Lilies of the Field,91.0,86.0
The Lion in Winter,90.0,90.0
The Little Drummer Boy,75.0,57.0
Little Lord Fauntleroy,88.0,73.0
The Little Princess,88.0,81.0
A Little Romance,71.0,85.0
The Little Shop of Horrors,92.0,55.0
Little Shop of Horrors,90.0,79.0
Little Women,94.0,78.0
Little Women,71.0,83.0
Lock Up,23.0,50.0
Lolita,91.0,84.0
Long Days Journey Into Night,94.0,86.0
The Long Hot Summer,89.0,82.0
The Longest Yard,79.0,75.0
Look Back in Anger,92.0,76.0
The Lost Patrol,100.0,65.0
The Love Bug,76.0,66.0
Lovesick,40.0,29.0
Lust for Life,100.0,81.0
M,100.0,95.0
Madame X,60.0,80.0
Made in Heaven,50.0,83.0
The Magic Flute Trollflojten,91.0,85.0
The Magnificent Ambersons,89.0,85.0
The Magnificent Seven,89.0,87.0
The Main Event,40.0,42.0
The Maltese Falcon,100.0,91.0
A Man for All Seasons,83.0,87.0
The Manchurian Candidate,97.0,90.0
The Manhattan Project,50.0,46.0
Manhunter,93.0,77.0
Mannequin,21.0,55.0
The Mark of Zorro,88.0,71.0
Marty,98.0,87.0
Masquerade,50.0,50.0
The Mechanic,25.0,66.0
The Men,77.0,74.0
Meteor,5.0,12.0
Metropolis,97.0,92.0
A Midsummer Nights Dream,91.0,62.0
Mighty Joe Young,95.0,63.0
The Miracle Worker,96.0,88.0
Missing in Action,19.0,42.0
The Mission,64.0,87.0
Mister Roberts,92.0,84.0
Moby Dick,86.0,73.0
Monkey Business,94.0,84.0
Monkey Business,88.0,68.0
Moonraker,60.0,43.0
Morning Glory,64.0,45.0
Moulin Rouge,78.0,90.0
Mr  Mrs Smith,67.0,48.0
Mrs Soffel,36.0,45.0
The Mummy,88.0,72.0
The Mummy,89.0,64.0
Murder,88.0,39.0
The Music Man,94.0,85.0
Mutiny on the Bounty,93.0,83.0
Mutiny on the Bounty,68.0,73.0
My Man Godfrey,97.0,90.0
Mysterious Island,80.0,63.0
Near Dark,88.0,74.0
Neighbors,57.0,49.0
Next of Kin,56.0,45.0
Nicholas and Alexandra,67.0,78.0
Night and Day,60.0,42.0
A Night at the Opera,98.0,91.0
Night of the Living Dead,97.0,87.0
A Night to Remember,100.0,90.0
Nighthawks,70.0,54.0
No Mans Land,50.0,63.0
No Mercy,27.0,28.0
No Way Out,91.0,72.0
The Nutty Professor,85.0,67.0
Obsession,73.0,59.0
The Odd Couple,97.0,89.0
Odd Man Out,100.0,86.0
The Odessa File,64.0,64.0
The Omen,86.0,80.0
On the Beach,76.0,69.0
On the Town,93.0,83.0
Only When I Laugh,57.0,42.0
Our Town,86.0,46.0
Out of the Dark,50.0,29.0
The OutofTowners,63.0,69.0
The Parent Trap,90.0,75.0
The Party,82.0,88.0
Pennies From Heaven,82.0,65.0
Peter Pan,81.0,80.0
The Phantom of the Opera,38.0,53.0
Phantom Of The Opera,90.0,84.0
The Picture of Dorian Gray,93.0,76.0
The Pink Panther,89.0,78.0
Piranha,69.0,41.0
The Pirates of Penzance,81.0,83.0
Pit and the Pendulum The Pit and the Pendulum,87.0,74.0
Planet of the Apes,87.0,87.0
Point Blank,95.0,84.0
Pollyanna,86.0,79.0
Poltergeist,86.0,79.0
Popeye,61.0,39.0
The Poseidon Adventure,80.0,75.0
Posse,67.0,52.0
The Postman Always Rings Twice,89.0,79.0
The Postman Always Rings Twice,79.0,59.0
Power,50.0,45.0
Pride and Prejudice,100.0,77.0
