movie_title,genres,tomatometer_rating,tomatometer_count,audience_rating,audience_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
Pathology,"Drama, Mystery & Suspense",45.0,22.0,39.0,49454.0,10,12
Disney's A Christmas Carol,"Animation, Drama, Kids & Family, Science Fiction & Fantasy",52.0,201.0,58.0,776189.0,105,96
Deep Water,"Documentary, Special Interest",96.0,55.0,87.0,4961.0,53,2
Road to Victory,"Art House & International, Drama, Sports & Fitness",78.0,9.0,78.0,89.0,7,2
Beverly Hills Chihuahua,Comedy,40.0,99.0,52.0,186570.0,40,59
Fireflies in the Garden,Drama,22.0,54.0,45.0,45155.0,12,42
The Eye,"Drama, Horror, Mystery & Suspense",21.0,80.0,43.0,303458.0,17,63
Day of the Dead,"Horror, Mystery & Suspense",13.0,8.0,22.0,11098.0,1,7
My Best Friend's Girl,"Comedy, Drama",14.0,59.0,46.0,86594.0,8,51
The Burrowers,"Horror, Mystery & Suspense, Western",75.0,12.0,34.0,10869.0,9,3
The Midnight Meat Train,"Drama, Horror, Mystery & Suspense",73.0,33.0,50.0,143577.0,24,9
The Lucky Ones,"Comedy, Drama",37.0,75.0,54.0,11792.0,28,47
Run Fatboy Run,Comedy,47.0,154.0,64.0,102884.0,72,82
Closing Escrow,Comedy,54.0,13.0,36.0,1123.0,7,6
Whiteout,"Action & Adventure, Drama, Mystery & Suspense",7.0,116.0,21.0,538861.0,8,108
Randy and the Mob,"Comedy, Documentary",56.0,9.0,39.0,288.0,5,4
Black Irish,Drama,31.0,13.0,58.0,1685.0,4,9
Wild Child,Comedy,41.0,27.0,61.0,17496.0,11,16
Powder Blue,Drama,25.0,8.0,40.0,7416.0,2,6
King Corn,"Documentary, Musical & Performing Arts, Special Interest",96.0,26.0,78.0,3201.0,25,1
L' Avocat de la Terreur (Terror's Advocate),"Art House & International, Documentary, Special Interest",87.0,46.0,67.0,1952.0,40,6
Darfur Now,"Documentary, Drama, Musical & Performing Arts, Special Interest",73.0,59.0,73.0,2308.0,43,16
Laaga Chunari Mein Daag - Journey of a Woman,"Art House & International, Drama",50.0,6.0,58.0,3785.0,3,3
Rails & Ties,Drama,34.0,47.0,58.0,10100.0,16,31
Mr. Untouchable,Documentary,73.0,26.0,54.0,732.0,19,7
House,"Drama, Horror, Mystery & Suspense",0.0,13.0,27.0,16715.0,0,13
Canvas,Drama,78.0,27.0,62.0,571.0,21,6
Skid Row,"Documentary, Special Interest",83.0,6.0,55.0,389.0,5,1
Saawariya,"Art House & International, Drama, Musical & Performing Arts, Romance",38.0,21.0,46.0,5828.0,8,13
Aaja Nachle,"Art House & International, Drama, Musical & Performing Arts, Romance",67.0,6.0,72.0,4354.0,4,2
Flawless,"Drama, Mystery & Suspense",55.0,95.0,54.0,12577.0,52,43
What Happens in Vegas,"Comedy, Romance",26.0,133.0,65.0,501711.0,34,99
Appaloosa,"Action & Adventure, Western",76.0,164.0,55.0,55694.0,125,39
Good,Drama,32.0,71.0,32.0,41569.0,23,48
The Visitor,Drama,89.0,120.0,84.0,127079.0,107,13
Meet Bill,Comedy,20.0,20.0,44.0,8165.0,4,16
Married Life,"Comedy, Drama, Mystery & Suspense, Romance",54.0,118.0,36.0,5083.0,64,54
Badland,Drama,16.0,19.0,54.0,294.0,3,16
The Oxford Murders,"Art House & International, Drama, Horror, Mystery & Suspense",17.0,12.0,33.0,14554.0,2,10
Untraceable,"Drama, Horror, Mystery & Suspense",16.0,148.0,52.0,225138.0,24,124
The Informers,"Drama, Mystery & Suspense",12.0,105.0,18.0,18505.0,13,92
Meeting Resistance,"Documentary, Special Interest",82.0,22.0,47.0,200.0,18,4
The Freshman,"Comedy, Drama",94.0,49.0,61.0,11850.0,46,3
Guta-yubalja-deul (A Bloody Aria),"Art House & International, Drama, Mystery & Suspense",42.0,24.0,40.0,297.0,10,14
Kenny,Comedy,100.0,25.0,86.0,8978.0,25,0
The Rocker,"Comedy, Drama",41.0,123.0,46.0,44190.0,50,73
